,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
1597,Medicine Woman,4.695652174,23,"Medicine Woman is a 60/40 sativa-dominant hybrid strain from renowned Oregon medical cannabis grower David Verstoppen. Aiming to help treat the symptoms of his wife's fibromyalgia, Dave crossed Hash Plant, Dynamite, and G13 to create this potent hybrid. Measured at over 23% THC, it relaxes muscles and provides powerful pain relief along with an energetic, clear-headed high. The aroma of Medicine Woman is sweet and skunky, and it tastes of sour citrus and diesel fuel.",,0.4,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,0.835376532,0.953183521,,,0.446808511,,,,,0.147110333,,,,0.5,,,0.814606742,0.935201401,,,0.053191489,,,0.814606742,0.290718039,1,,1,,,1,0.805243446,,0.923913043,0.001879085,
1598,Medusa,4.083333333,62,"Medusa mixes smooth, sweet flavors with an earthy aroma of fresh blueberries to create a compelling hybrid. Using their strain Misty, Nirvana Seeds has developed a strong mix of sedating body effects with balanced and clear cerebral activity. Medical consumers appreciate Medusa's ability to combat sleep issues and body pains.",18,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168067227,0.534988713,0.336134454,,1,0.88261851,,,1,,,0.630252101,,0.540350877,,,,,0.630252101,,,0.887719298,0.884875847,0.680701754,,0.963882619,,,1,,0.652631579,0.770833333,0.005065359,0.575163399
1599,Mega Jackpot,4,13,"Mega Jackpot is a sativa-dominant hybrid that mixes genetics from Jack Herer, Northern Lights, and Haze. The three-way combination creates a potent strain with flavors of grape and vanilla. The effects from Mega Jackpot create a cerebral energy that incites creativity and happiness. While not the easiest strain to grow, seasoned growers will appreciate Mega Jackpot's purple hues and THC levels that reach upwards of 25%.",23,0.385,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1,1,,,,0.230769231,,,,0.153846154,0.076923077,,,,0.916666667,,,,0.923076923,0.666666667,,,0.541666667,,,1,,,0.75,0.001062092,0.738562092
1600,Megalodon,4.47826087,23,"Megalodon, named for the prehistoric shark of the same name, is a sativa-dominant strain with a trichome-rich lineage. This strain was created by crossing Great White Shark x White Widow x Snow White, alluding to the dense blanket of trichomes that coats it. The Canadian-born strain smells of fresh cut grass and skunk. Megalodon's effects are heady and uplifting, making it ideal for focus, creativity, and shrugging off depression. Pair this strain with a sunny day for best possible results.",21,0.4,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,0.622222222,0.235294118,,1,0.837037037,,,,,,,,0.494623656,0.311827957,0.874074074,0.088235294,,0.205882353,,,1,,0.806451613,,0.681481481,,,0.294117647,0.408602151,,0.869565217,0.001879085,0.673202614
1601,Mekamika Haze,5,1,"Mekamika Haze won Best Sativa at the 2015 Amsterdam Unity Cup. This pure landrace sativa supposedly hails from the Amazon and shares genetics with another mysterious strain, Mango Rossa (Manga Rosa from Brazil). The bright, lanky sativa is a challenge to grow, but attentive farmers are rewarded with beautiful buds that smell of tropical citrus and mango with pungent, earthy undertones.",,0.23,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,1,,1,,1,,,1,,,,,1,,1,,,1,,,1,,,,1,,,,,1,1,8.17E-05,
1602,Melon Gum,4.318181818,44,"Melon Gum was born with the crossing of Lavender and Bubble Gum, who pass on a combination of fruity flavors and vibrant bud coloration. Sweet notes of melon, strawberry, and lemon come together to create an intricate flavor profile that lends this strain its name. Melon Gum produces heavy yields following its 50 to 57 day flowering time indoors, and outdoor cultivators should plan to harvest during the September and October transition.",19,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.6,1,0.74,1,,1,,,,1,,,0.009009009,,0.9,,0.97,,,0.990990991,,,0.8,0.995,0.8,,0.78,,,0.099099099,,,0.829545455,0.003594771,0.607843137
1603,Member Berry,4.545454545,11,"Member Berry is the result of a breeding project from Colorado's Ethos that crosses Skunkberry with Mandarin Sunset to produce a tart, fruity strain. Beautiful dense green buds are complemented with sweet citrus notes, and this celebrated hybrid has a long-lasting high that will keep you floating through your day with ease.",,0.54,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285714286,,,,,1,0.571428571,,,,1,,,,,0.333333333,,,,,,0.571428571,,1,1,,,0.285714286,,,1,0.333333333,,0.886363636,0.000898693,
1604,Memory Loss,4.604166667,48,"Memory Loss is a fast-finishing 70% sativa hybrid from Archive Seed Bank that smells very much like a Dutch Haze, with a strong, peppery incense odor and undertones of bubblegum and fruit. This cross of Amnesia Haze and a Face Off OG male produces large, easy to grow plants and heavy yields. Memory Loss is named for its mind-warping high that can leave users in a disoriented and forgetful mental state.",,0.05,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,0.611111111,,,,0.513761468,0.290322581,1,,0.266129032,,1,,,0.935779817,,,,0.74537037,0.036697248,,0.440366972,,,0.733870968,0.597222222,0.580645161,,0.666666667,,,1,,,0.901041667,0.003921569,
1605,Mendo Afgoo,5,6,"Mendo Afgoo is an unknown cross that has recently sprouted up on menus in cannabis dispensaries up and down the West Coast. The genetics are somewhat contested, with some claiming the strain is an Afgooey rebranded and others inferring parental genetics via nomenclature (Mendocino Madness x Afghani). The effects of the strain uplift the mind while saddling the body with a creeping heaviness. Mendo Afgoo is pungent and earthy, expressing deep green buds with coppery hair. Its stress-relieving effects make it a natural fit for the end of the day.",,0.99,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37254902,,0.820512821,,,,1,0.769230769,,,,0.717948718,,0.807692308,,,,,,0.858974359,1,0.858974359,,0.5,,,1,,0.641025641,1,0.000490196,
1606,Mendo Breath,4.682730924,249,"Mendo Breath is an interesting mix of OGKB (OGKushBreath, which is the supposed patriarch in the Cookies Fam genetics) and Mendo Montage. Their forces combined make dense frosty buds that reek of sweet vanilla and caramel. But no matter how good this smells, save it for after work. This thumper can pivot your entire day's plans with its powerful body high built for chronic pain and discomfort.",19,0.7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.127351583,,0.368424017,0.38232503,0.535627507,,,0.633384189,1,,,0.250704067,,,,,,,0.126957305,0.344653519,,0.444958482,1,0.938394622,,0.509502552,,,1,,0.710557533,0.920682731,0.020343137,0.607843137
1607,Mendo Montage,5,1,"A collaboration between Gage Green Genetics and Jojorizo, Mendo Montage is a cross between Mendo Purps and Crystal Locomotive F1 that provides tranquilizing effects. The buds are frosty with rich purple hues, and deliver sweet grape and candy flavors. Mendo Montage is not only sweet on the eyes, but also a great strain for consumers looking to wind down and have a good laugh",,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.17E-05,
1608,Mendo Queen,5,1,"Created by Gage Green Group (GGG), Mendo Queen is a phenotype of Mendo Montage that was produced when Mendo Purps, a legendary Northern California strain, was bred with Crystal Locomotive, a cross between Trainwreck and Aloha White Widow. Both parents in the cross were acquired from breeder Jojorizo. This strain offers a powerful, tingly high that remains balanced between mind and body.",,0.42,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.5,1,,1,,,,1,,,,0.5,0.5,,0.5,1,0.5,1,,,1,,0.5,,1,,,1,,,1,8.17E-05,
1609,Mendo Supremo,5,1,"Created by Gage Green Genetics, Mendo Supremo crosses Mendo Montage and Mendo Queen with Grande Supreme, producing a hybrid that delivers a euphoric onset followed by a sedating body high. You can expect pineapple, orange, and grape flavors from this strain, making it a must-try for any consumer chasing new fruity flavors.",,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,8.17E-05,
1610,Mendocino Madness,4.666666667,3,"Mendocino Madness is the fastest growing hybrid in the T.H. Seeds catalog. This speedy, generous flower is a pest-resistant cross of Madness (from Northern California) and T.H. Seed's Kwiksilver father. Mendocino Madness expresses purple foliage and finishes in approximately seven weeks, making this an ideal outdoor plant, especially with its natural insect resistance. Its hybrid effects fuel a stimulated mental state that bursts through the body, leaving relaxation in the limbs. Enjoy Mendocino Madness to improve mood and relinquish stress.",,0.52,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,1,,,0.916666667,0.000245098,
1611,Mendocino Purps,4.330798479,269,"Mendocino Purps, or Mendo Purps, or even just The Purps, comes out of Mendocino County in Northern California. Winning one of the Top Ten slots in High Times' Strains of the Year in 2007, Mendocino Purps began as a clone-only plant, but BC Bud Depot developed a stable cross to make The Purps seeds available. This cannabis strain grows well both in and outdoors. It can grow 3-4 feet at harvest indoors and 6-8 feet outdoors. Flowering time for this strain is 8-9 weeks. It has medium-thick leaves and green hues that turn more purple as the plant ripens. The taste has been likened to a caramel coffee and woodsy pine.",13.5,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.493778848,,0.286474012,0.584250521,0.942320997,0.627493893,,,1,,,,0.565757324,,,0.700210384,0.570288983,,0.031607465,,,,0.932437203,0.776243527,,1,,,1,,0.744345565,0.83269962,0.021977124,0.428104575
1612,Mercury OG,4.44,50,"Mercury OG is a potent indica with unknown genetics. It has both the high THC content and a distinct, overwhelming aroma typical of OG strains. This strain is favored for its powerful effects that provide clarity and heightened sensory perception; it is reputed as particularly influential when listening to music. Although uplifting, this indica is on the heavier side, appealing to experienced users who desire strong medicinal treatment.",18,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.014184397,,0.031914894,0.898089172,,,,0.924528302,1,0.905660377,0.86163522,,,,,,,,0.003546099,,,0.955414013,1,0.961783439,,0.144654088,,,1,,0.929936306,0.86,0.004084967,0.575163399
1613,Merlot OG,4.888888889,9,"SoCal cannabis breeders Ocean Grown Seeds originally designed the Merlot OG in 2006 as an attempt to create an OG Kush-type plant with deep purple colors by crossing Larry OG and Grape Ape. The resulting plant was then crossed with Blackberry Rhino x SFV OG and then backcrossed to stabilize its OG characteristics. Merlot OG produces large, dense indica-type buds that are blanketed in white trichomes and will often turn dark purple, especially in cooler conditions.",,0.77,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,0.5,,0.888888889,,,0.444444444,1,,,,,,,0.777777778,,,,,,0.6,1,0.6,,0.777777778,,,0.75,0.8,0.8,0.972222222,0.000735294,
1614,Mexican,3.5,76,"Mexican refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.",14,0,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,0.25955414,,0.85111465,1,1,,,,0.811671088,,,,,,,0.8,0.535031847,,0.451433121,1,,0.901856764,0.860714286,0.819628647,,0.875892857,,,1,,0.864721485,0.625,0.00620915,0.444444444
1615,Mexican Kush,,0,"Created by an anonymous breeder in Salem, Oregon, Mexican Kush is a cross between Afghan Kush and Mexican Sativa. Buds are light green with vibrant orange hairs, while the aroma is reminiscent of molasses and the flavor is defined by notes of sweet candy and hash. This hybrid produces a creative and euphoric high like drinking a good cup of coffee, making it great for consumers seeking a quality daytime strain.",,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1616,Mexican Sativa,3.52,53,"Mexican Sativa is a 70/30 sativa-dominant hybrid that offers an uplifting, clear-headed buzz alongside a fresh sandalwood aroma. To reduce the plant's flowering time, Sensi Seeds breeders crossed a cultivar from the southern province of Oaxaca with the hardy African sativa Durban Poison and a fast-flowering Pakistani indica.",8,0.3,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.6559053,,0.037354086,0.730965833,0.511673152,,1,0.885391445,,,1,,,,,0.374962293,,0.849071832,0.060700389,,0.255642023,,,0.989140271,,0.330618401,,,,,1,0.308898944,,0.63,0.004330065,0.248366013
1617,Michael Phelps OG,4.310344828,29,"When word got out that the Olympic gold medalist enjoyed cannabis, it was only a matter of time before a strain would be named in his honor. Michael Phelps OG is a hybrid strain that no doubt carries OG Kush genetics, but other ancestry remains uncertain. You can smell the OG in this one as earthy, sweet notes of pine and lemon explode on the exhale. Small doses of Michael Phelps OG leave your mind and body agile, but overdo it and you're more likely to find the effects ironically lazy and inactive.",,0.37,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0.484848485,0.012578616,,0.018867925,1,0.231707317,,,,0.575757576,,0.774390244,0.012578616,,,,0.237804878,,,0.012578616,0.786585366,,,1,0.515151515,,,,,1,,0.53030303,0.827586207,0.002369281,
1618,Michka,,0,"Michka by Sensi Seeds is a handcrafted homage to French cannabis activist and author, Michka Seeliger-Chatelain. This citrus-scented sativa was created during the same breeding project that created Eagle Bill. The Michka phenotype expresses a powerful aroma and a beautiful morphology that produces long candlestick-shaped colas. Its uplifting and invigorating effects are ideal for consumers looking to stimulate creativity and productivity without the overpowering sizzle. Michka wrote, “Free access to plants is a birthright of all living creatures.”",8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.248366013
1619,Mickey Kush,4.596153846,106,"Mickey Kush is a 75% sativa cross between Sweet Irish Kush and Jack The Ripper. These potent buds offer an earthy, kush flavor with lemon undertones, and deliver energetic, focused effects. Mickey Kush is renowned for its high THC and CBG cannabinoid content, making it a prime choice for tumor treatment, alleviating nausea, pain, and depression. These indoor or outdoor plants reach a medium height with a moderate to heavy yield, flowering between 7 and 8 weeks.",8,0.25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.799672489,0.194666667,,0.026666667,,0.624717833,,,,0.997270742,0.89785553,,0.953333333,,,,0.626128668,,,0.956666667,,,1,0.515519187,0.82150655,,1,,,1,0.783296943,,0.899038462,0.008660131,0.248366013
1620,Middlefork,4.650406504,123,"Middlefork is a sativa-dominant hybrid strain bred from Dutch Treat. Created in Washington state just outside the city of Bellingham, Middlefork has become a local staple for its potent buzz which may assist some consumers with anxiety, pain, spasms, and nausea. Creativity and energy are ushered in by sweet berry and tangy citrus notes inherited from the strain's Dutch Treat parent.",16,0.38,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.728070175,0.032258065,,0.086021505,,1,,,,1,0.454545455,,0.053763441,,,,0.609090909,0.032258065,,,,,0.868421053,0.963636364,0.929824561,,0.977272727,,,1,0.850877193,,0.912601626,0.01004902,0.509803922
1621,Middlefork x Pineapple Express,4.909090909,11,"Middlefork x Pineapple Express is a 75% sativa strain from western Washington that combines the best of both parents: a pungent pineapple aroma and heavy resin production. Notes of berry and earthiness accent the dominant fruity aroma of this strain, bringing fragrant intricacy to this sativa hybrid. Bliss and euphoria overcome the mind, lulling you into a deep sense of calm and contentment. In addition to its rich terpene profile, Middlefork x Pineapple Express typically demonstrates a high cannabinoid content that can stretch beyond 20% THC.",,0.33,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,1,,,,0.75,,0.428571429,1,,,,0.571428571,,,,,0.714285714,0.75,,1,,0.857142857,,,1,0.5,,0.977272727,0.000898693,
1622,Midnight,4.432989691,97,"Midnight, a popular strain in Israel, is a sativa-dominant variety developed by Tikun Olam to treat nausea. This high-CBD strain also controls pain, inflammation, and indigestion, with uplifting and invigorating effects ideal for daytime consumption.",11,0.385,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359749106,,1,,,,0.539151548,,0.905351292,,,,,0.157489781,,0.703312705,,0.620354758,0.157489781,,0.147872085,,,0.535129232,1,1,,0.494975383,0.742446305,,0.282519836,,,0.858247423,0.007924837,0.346405229
1623,Mighty Glue,4,5,"Cultivated by The Farm Genetics, Mighty Glue was developed to be a tried-and-true, heavy-hitting nightcap. Created by crossing OG Glue with Sour Bubble, Mighty Glue produces dense trichome-soaked buds that smell of sharp, sour funk and sandalwood incense. This strain will make you laugh and let go of the day before stepping into bed.",,0.58,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,1,0.625,0.8,,0.8,0.625,,,,,,,,0.625,0.25,,1,1,,,0.8,,,0.8,1,,,0.75,0.000408497,
1624,Mighty Quin,4,1,"Mighty Quin from Phantom Farms is an uplifting cross of CBD-dominant and THC-dominant strains. Bred from Harlequin and City of God, this strain is a mixture of old world cannabis genetics and physically stimulating attributes. Mighty Quin's cerebral energy puts a luster on even mundane tasks, making them a little more interesting and engaging. It has a sweet, forest flavor that opens with notes of fruit and sage on the palate. Enjoy Mighty Quin for its pleasant euphoria and complex herbaceous flavors.",,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,8.17E-05,
